Institution,City,State,Zip,Instituion URL,Cost of Attendance,In-state Tuition,Out-of-State Tuition,Average Faculty Salary,Student Spending Ratio
Alabama A & M University,Normal,AL,35762,www.aamu.edu/,23053.0,10024.0,18634.0,7709.0,0.7047013977128336
University of Alabama at Birmingham,Birmingham,AL,35294-0110,https://www.uab.edu/,24495.0,8568.0,20400.0,11049.0,1.2386739417989419
Amridge University,Montgomery,AL,36117-3553,www.amridgeuniversity.edu/,14800.0,6950.0,6950.0,4187.0,0.31975858074742425
University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu/,23917.0,11122.0,23518.0,9688.0,1.0257401812688822
Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu/,21866.0,11068.0,19396.0,7221.0,0.9748617920100136
The University of Alabama,Tuscaloosa,AL,35487-0100,www.ua.edu/,29872.0,10780.0,30250.0,10291.0,0.6793929495031986
Central Alabama Community College,Alexander City,AL,35010,www.cacc.edu/,10493.0,4870.0,8800.0,6480.0,3.408450704225352
Athens State University,Athens,AL,35611,www.athens.edu/,15171.0,6745.0,13546.0,8421.0,1.0858294930875576
Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu/,19849.0,8620.0,18292.0,7927.0,0.7755830253600102
Auburn University,Auburn,AL,36849,www.auburn.edu/,31590.0,11492.0,31124.0,10738.0,0.5244869544161269
Birmingham-Southern College,Birmingham,AL,35254,www.bsc.edu/,32095.0,18238.0,18238.0,6294.0,1.060101445114365
Chattahoochee Valley Community College,Phenix City,AL,36869,www.cv.edu/,7338.0,4860.0,8790.0,6446.0,2.2081427264409883
South University-Montgomery,Montgomery,AL,36116,"www.southuniversity.edu/montgomery#location=Montgomery, AL",28258.0,17014.0,17014.0,4826.0,0.5784516235644055
Enterprise State Community College,Enterprise,AL,36330-1300,www.escc.edu/,9393.0,4800.0,8730.0,6600.0,2.0990356083086055
Coastal Alabama Community College,Bay Minette,AL,36507-2698,www.coastalalabama.edu/,15251.0,4800.0,8730.0,6663.0,1.4187713310580206
Faulkner University,Montgomery,AL,36109-3390,www.faulkner.edu/,34317.0,22310.0,22310.0,6001.0,0.5285341960995776
Gadsden State Community College,Gadsden,AL,35903,www.gadsdenstate.edu/,10346.0,3888.0,7032.0,6696.0,2.616203703703704
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,www.wallace.edu/,9863.0,4740.0,8670.0,6102.0,2.350717079530639
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,www.wallacestate.edu/,12144.0,4800.0,8730.0,6563.0,1.7300103842159917
George C Wallace State Community College-Selma,Selma,AL,36703-2808,www.wccs.edu/,10657.0,4500.0,8430.0,5915.0,3.5224766751484307
Herzing University-Birmingham,Birmingham,AL,35209,https://www.herzing.edu/,30119.0,14200.0,14200.0,6076.0,0.2689670932358318
Huntingdon College,Montgomery,AL,36106-2148,www.huntingdon.edu/,36828.0,27400.0,27400.0,6678.0,0.5343829023574517
Heritage Christian University,Florence,AL,35630-9977,www.hcu.edu/,20695.0,11532.0,11532.0,4774.0,2.4942660550458715
J. F. Drake State Community and Technical College,Huntsville,AL,35811,https://www.drakestate.edu/,12586.0,4770.0,8700.0,6418.0,2.967233009708738
Jacksonville State University,Jacksonville,AL,36265,www.jsu.edu/,19004.0,11120.0,20840.0,7269.0,0.911030106655866
Jefferson State Community College,Birmingham,AL,35215-3098,www.jeffersonstate.edu/,13716.0,4860.0,8790.0,6763.0,1.8109735697557712
John C Calhoun State Community College,Tanner,AL,35671,https://calhoun.edu/,10292.0,4880.0,8810.0,6708.0,1.2276513048306497
Judson College,Marion,AL,36756,www.judson.edu/,32691.0,18540.0,18540.0,5780.0,1.8452859551290364
Lawson State Community College,Birmingham,AL,35221-1717,www.lawsonstate.edu/,14982.0,4800.0,8730.0,6691.0,13.88888888888889
University of West Alabama,Livingston,AL,35470,www.uwa.edu/,21657.0,10990.0,20090.0,6481.0,0.8582021446497833
Lurleen B Wallace Community College,Andalusia,AL,36420-1224,https://www.lbwcc.edu/,13876.0,4800.0,8730.0,6175.0,2.623927309439677
Marion Military Institute,Marion,AL,36756-3207,www.marionmilitary.edu/,18568.0,9418.0,15418.0,6488.0,1.909985935302391
Miles College,Fairfield,AL,35064-2621,www.miles.edu/,22300.0,12464.0,12464.0,4903.0,0.7199656135826349
University of Mobile,Mobile,AL,36613-2842,www.umobile.edu/,36104.0,23860.0,23860.0,5192.0,0.7653292181069958
University of Montevallo,Montevallo,AL,35115-6000,www.montevallo.edu/,24746.0,13708.0,26728.0,7756.0,1.5238696640565799
Northwest-Shoals Community College,Muscle Shoals,AL,35661,https://www.nwscc.edu/,12866.0,4771.0,8701.0,6215.0,2.3090113097409706
University of North Alabama,Florence,AL,35632-0001,www.una.edu/,20886.0,10620.0,20220.0,8336.0,0.9260355029585798
Northeast Alabama Community College,Rainsville,AL,35986,https://www.nacc.edu/,9140.0,4800.0,8730.0,6627.0,1.6980999296270232
Oakwood University,Huntsville,AL,35896,https://www2.oakwood.edu/,37169.0,19990.0,19990.0,5218.0,0.5055957867017775
Reid State Technical College,Evergreen,AL,36401,www.rstc.edu/,9252.0,4860.0,8790.0,6698.0,4.181142591732466
Bishop State Community College,Mobile,AL,36603-5898,www.bishop.edu/,10528.0,4740.0,8610.0,6561.0,2.6908783783783785
Samford University,Birmingham,AL,35229-2240,www.samford.edu/,47863.0,32850.0,32850.0,9079.0,0.78846639398071
Selma University,Selma,AL,36701,selmauniversity.edu/,12510.0,7280.0,7280.0,2702.0,0.45513738768068757
Shelton State Community College,Tuscaloosa,AL,35405-8522,www.sheltonstate.edu/,12451.0,4541.0,8471.0,6798.0,1.8598629093678598
Snead State Community College,Boaz,AL,35957-0734,www.snead.edu/,11574.0,4950.0,8880.0,7543.0,1.0293923381770145
University of South Alabama,Mobile,AL,36688-0002,www.southalabama.edu/,20792.0,8396.0,16292.0,7251.0,0.995335337410594
Spring Hill College,Mobile,AL,36608-1791,www.shc.edu/,55695.0,40648.0,40648.0,6627.0,0.6088715834478546
Stillman College,Tuscaloosa,AL,35401,https://stillman.edu/,25413.0,11292.0,11292.0,4845.0,0.26917955546450884
Talladega College,Talladega,AL,35160,www.talladega.edu/,23745.0,13846.0,13846.0,5889.0,0.4602018653379328
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,www.trenholmstate.edu/,12450.0,4710.0,8640.0,6421.0,2.983673469387755
Troy University,Troy,AL,36082-0001,www.troy.edu/,19545.0,8908.0,16708.0,6657.0,0.7406223358908781
Tuskegee University,Tuskegee,AL,36088-1920,www.tuskegee.edu/,39383.0,22614.0,22614.0,7224.0,0.8066644227532818
United States Sports Academy,Daphne,AL,36526-7055,www.ussa.edu/,26835.0,13882.0,15978.0,5450.0,0.4594960715253319
Bevill State Community College,Jasper,AL,35501,www.bscc.edu/,14287.0,5150.0,9342.0,6749.0,2.8796889295516928
University of Alaska Anchorage,Anchorage,AK,99508,www.uaa.alaska.edu/,20010.0,8103.0,28084.0,9124.0,1.6604127579737336
Alaska Bible College,Palmer,AK,99645,www.akbible.edu/,19851.0,9700.0,9700.0,2500.0,0.9982971960494949
University of Alaska Fairbanks,Fairbanks,AK,99775,www.uaf.edu/,18558.0,7080.0,21216.0,9658.0,2.2333734939759036
University of Alaska Southeast,Juneau,AK,99801-8697,www.uas.alaska.edu/,18063.0,6696.0,20832.0,8374.0,1.9729027468448403
Alaska Pacific University,Anchorage,AK,99508,www.alaskapacific.edu/,34315.0,20760.0,20760.0,5769.0,1.1279289648935296
Charter College,Vancouver,WA,98683-7575,https://www.chartercollege.edu/,35954.0,18161.0,18161.0,4569.0,0.32059092293633873
Alaska Career College,Anchorage,AK,99507-1033,www.alaskacareercollege.edu/,34540.0,16969.0,16969.0,3591.0,0.4179085136711157
Carrington College-Phoenix North,Phoenix,AZ,85051-4063,https://carrington.edu/,33126.0,15777.0,15777.0,6222.0,0.3685420818641729
CollegeAmerica-Flagstaff,Flagstaff,AZ,86001,www.collegeamerica.edu/,31712.0,14585.0,14585.0,7801.0,0.36789170725536086
Brookline College-Phoenix,Phoenix,AZ,85021,www.brooklinecollege.edu/,29004.0,12961.5,22006.5,5567.0,0.32884231536926145
Arizona State University Campus Immersion,Tempe,AZ,85287,www.asu.edu/,26296.0,11338.0,29428.0,11736.0,0.7566467715680955
Arizona Western College,Yuma,AZ,85365-8834,www.azwestern.edu/,15075.0,2780.0,9770.0,6401.0,5.77487922705314
University of Arizona,Tucson,AZ,85721-0066,https://www.arizona.edu/,27417.0,12711.0,36718.0,11256.0,0.9000718437724512
Southwest University of Visual Arts-Tucson,Tucson,AZ,85701,www.suva.edu/,35177.0,23069.0,23069.0,4600.0,0.1931333600612312
Central Arizona College,Coolidge,AZ,85128-9030,www.centralaz.edu/,11406.0,2580.0,5160.0,6629.0,6.69935064935065
Cochise County Community College District,Sierra Vista,AZ,85635-2317,https://www.cochise.edu/,11814.0,2112.0,6240.0,6365.0,2.630593132154006
Eastern Arizona College,Thatcher,AZ,85552-0769,www.eac.edu/,13692.0,2700.0,9120.0,7736.0,5.644124168514413
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,prescott.erau.edu/,53046.0,36708.0,36708.0,9256.0,0.5087454986404056
The School of Architecture,Paradise Valley,AZ,85253,https://theschoolofarchitecture.edu/,33332.0,19389.0,22281.0,3958.0,1.554368986039268
Glendale Community College,Glendale,AZ,85302,www.gccaz.edu/,13618.0,2070.0,7854.0,9247.0,2.8678839957035445
Grand Canyon University,Phoenix,AZ,85017,www.gcu.edu/,31213.0,17800.0,17800.0,6749.0,0.18024413470695178
GateWay Community College,Phoenix,AZ,85034,www.gatewaycc.edu/,15040.0,2070.0,7854.0,9012.0,2.6511720301946764
Mesa Community College,Mesa,AZ,85202,www.mesacc.edu/,14558.0,2070.0,7854.0,9418.0,2.138019717102443
Mohave Community College,Kingman,AZ,86409-1238,https://www.mohave.edu/,13418.0,2112.0,6972.0,6551.0,2.1375179683756587
Dine College,Tsaile,AZ,86556,https://www.dinecollege.edu/,13887.0,1410.0,1410.0,5957.0,27.8218085106383
Northern Arizona University,Flagstaff,AZ,86011-4092,https://nau.edu/,27129.0,11896.0,26516.0,8431.0,0.8866058815975344
Northland Pioneer College,Holbrook,AZ,86025-0610,www.npc.edu/,15213.0,2380.0,9360.0,5583.0,3.8226848528356068
Ottawa University-Phoenix,Phoenix,AZ,85021,www.ottawa.edu/,14544.0,2225.0,8607.0,6603.0,0.20205686630369027
Phoenix College,Phoenix,AZ,85013,www.phoenixcollege.edu/,13875.0,2070.0,7854.0,9014.0,3.0312665606783256
Pima Community College,Tucson,AZ,85709-1275,www.pima.edu/,8574.0,2190.0,7506.0,5425.0,2.151328273244782
Pima Medical Institute-Tucson,Tucson,AZ,85712,pmi.edu/,20062.333333333336,12311.0,15855.0,5896.0,0.36923587305097866
Pima Medical Institute-Albuquerque,Albuquerque,NM,87110,pmi.edu/,31550.666666666668,22432.0,24204.0,5828.0,0.5961884595023822
Prescott College,Prescott,AZ,86301,https://www.prescott.edu/,43039.0,32553.0,32553.0,5095.0,0.442026498249468
Refrigeration School Inc,Phoenix,AZ,85034-1816,https://www.rsi.edu/,28264.5,17311.5,20203.5,4308.0,0.13133465225993
Rio Salado College,Tempe,AZ,85281,www.rio.maricopa.edu/,13490.0,2070.0,7854.0,7739.0,0.6422821141057052
Scottsdale Community College,Scottsdale,AZ,85256,www.scottsdalecc.edu/,14600.0,2070.0,7854.0,9249.0,2.835408560311284
South Mountain Community College,Phoenix,AZ,85042,www.southmountaincc.edu/,13429.0,2070.0,7854.0,9280.0,3.855629139072848
Arizona Christian University,Glendale,AZ,85306-3216,arizonachristian.edu/,39360.0,27890.0,27890.0,5377.0,0.5960378281428339
Universal Technical Institute of Arizona Inc,Avondale,AZ,85323,www.uti.edu/,25737.5,15191.0,18485.0,5128.0,0.22441995756621724
Yavapai College,Prescott,AZ,86301,www.yc.edu/,12115.0,2492.0,9080.0,7401.0,2.7538586515028434
University of Arkansas at Little Rock,Little Rock,AR,72204,ualr.edu/www/,21590.0,9544.0,21754.0,6908.0,1.4251592356687899
University of Arkansas for Medical Sciences,Little Rock,AR,72205-7199,www.uams.edu/,21772.5,9152.0,15257.0,9354.0,2.6162664348581983
Arkansas Baptist College,Little Rock,AR,72202-6068,www.arkansasbaptist.edu/,21955.0,8760.0,8760.0,4367.0,0.2980576978006284
Lyon College,Batesville,AR,72501,www.lyon.edu/,40422.0,29140.0,29140.0,6577.0,1.3104035245819565
University of Arkansas,Fayetteville,AR,72701,https://www.uark.edu/,23390.0,9384.0,25872.0,10058.0,1.120390892605279
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,www.uapb.edu/,19108.0,8248.0,14908.0,5807.0,1.7930790960451977
Arkansas State University-Beebe,Beebe,AR,72012-1000,www.asub.edu/,14111.0,2928.0,4656.0,5053.0,1.989622641509434
Arkansas State University,Jonesboro,AR,72401,www.astate.edu/,21756.0,8900.0,15860.0,7216.0,1.2642664707323046
Arkansas Tech University,Russellville,AR,72801-2222,www.atu.edu/,18358.0,7668.0,13236.0,6868.0,1.0975355054302423
University of Arkansas at Monticello,Monticello,AR,71656,www.uamont.edu/,17957.0,7909.0,13759.0,5765.0,2.0118197488303373
Baptist Health College Little Rock,Little Rock,AR,72210-2827,https://www.bhclr.edu/,25235.0,11032.0,11032.0,6220.0,1.9838403041825095
Black River Technical College,Pocahontas,AR,72455,www.blackrivertech.edu/,12381.0,3216.0,5448.0,4233.0,5.04251269035533
University of Central Arkansas,Conway,AR,72035-0001,www.uca.edu/,22041.0,9188.0,15998.0,7121.0,1.469369530273263
Central Baptist College,Conway,AR,72034,www.cbc.edu/,26290.0,16650.0,16650.0,5304.0,0.34565261657503565
Cossatot Community College of the University of Arkansas,De Queen,AR,71832,www.cccua.edu/,10928.0,3510.0,4350.0,5350.0,3.582955118507312
Crowley's Ridge College,Paragould,AR,72450,www.crc.edu/,21793.0,14500.0,14500.0,4005.0,0.48077391092723293
East Arkansas Community College,Forrest City,AR,72335-2204,https://www.eacc.edu/,12313.0,2925.0,3804.0,5211.0,3.26045170591062
National Park College,Hot Springs,AR,71913,www.np.edu/,14391.0,4550.0,6230.0,5268.0,3.270965023177413
University of Arkansas Community College-Batesville,Batesville,AR,72503-3350,www.uaccb.edu/,12668.0,2526.0,3438.0,4078.0,4.35702746365105
Harding University,Searcy,AR,72149-5615,www.harding.edu/,30490.0,20735.0,20735.0,7375.0,0.7219647180906261
Henderson State University,Arkadelphia,AR,71999-0001,https://www.hsu.edu/,20560.0,8902.0,10612.0,6837.0,1.8468271334792123
Hendrix College,Conway,AR,72032-3080,www.hendrix.edu/,62983.0,47600.0,47600.0,7474.0,1.2523239184840902
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,71603,www.jrmc.org/,51392.5,37634.0,37634.0,6923.0,1.073329984932195
John Brown University,Siloam Springs,AR,72761,www.jbu.edu/,39802.0,27668.0,27668.0,7083.0,0.8087676324013853
Arkansas State University Mid-South,West Memphis,AR,72301-3829,www.asumidsouth.edu/,12469.0,2746.0,4186.0,4336.0,2.375060415659739
Arkansas Northeastern College,Blytheville,AR,72316-1109,www.anc.edu/,10586.0,2346.0,4026.0,5204.0,5.624183006535947
North Arkansas College,Harrison,AR,72601-5508,www.northark.edu/,9962.0,2352.0,4632.0,5462.0,5.695829926410466
Ouachita Baptist University,Arkadelphia,AR,71998-0001,www.obu.edu/,38590.0,27900.0,27900.0,6374.0,0.9582630691399663
Arkansas State University Three Rivers,Malvern,AR,72104-0816,www.asutr.edu/,11106.0,3458.0,5906.0,4886.0,3.7026773132926256
Ozarka College,Melbourne,AR,72556-0010,www.ozarka.edu/,10738.0,3004.0,5356.0,4804.0,3.4197437829691033
University of the Ozarks,Clarksville,AR,72830,https://www.ozarks.edu/,33866.0,25950.0,25950.0,6720.0,0.857095709570957
University of Arkansas Community College-Morrilton,Morrilton,AR,72110,www.uaccm.edu/,9976.0,3216.0,4128.0,5161.0,2.123489932885906
Philander Smith College,Little Rock,AR,72202-3799,https://www.philander.edu/,26302.0,13014.0,13014.0,5808.0,0.5718761296541752
Phillips Community College of the University of Arkansas,Helena,AR,72342-0785,www.pccua.edu/,10415.0,3020.0,4910.0,4924.0,7.146360153256705
Southeast Arkansas College,Pine Bluff,AR,71603,https://www.seark.edu/,12782.0,3855.0,6735.0,4872.0,2.901224145208949
University of Arkansas-Pulaski Technical College,North Little Rock,AR,72118-3347,uaptc.edu/,16961.0,5670.0,6900.0,4828.0,1.9888769285970578
University of Arkansas Hope-Texarkana,Hope,AR,71801,www.uaht.edu/,13054.0,2980.0,4300.0,4520.0,4.703448275862069
University of Arkansas Community College Rich Mountain,Mena,AR,71953,www.uarichmountain.edu/,11495.0,3072.0,3648.0,4648.0,4.2647540983606556
Shorter College,N Little Rock,AR,72114,www.shortercollege.edu/,18055.0,5596.0,5596.0,3487.0,0.42349365102711184
Williams Baptist University,Walnut Ridge,AR,72476,https://williamsbaptistuniversity.com/,28664.0,18060.0,18060.0,5468.0,0.6226391015824401
South Arkansas Community College,El Dorado,AR,71731-7010,www.southark.edu/,13528.0,2700.0,4812.0,4896.0,2.578624914908101
Southern Arkansas University Main Campus,Magnolia,AR,71753,https://www.saumag.edu/,22579.0,9080.0,13580.0,6850.0,1.4457274826789839
Southern Arkansas University Tech,Camden,AR,71701-1906,www.sautech.edu/,19101.0,4977.0,6417.0,4295.0,4.262998485613327
University of Arkansas-Fort Smith,Fort Smith,AR,72913-3649,uafs.edu/,16391.0,5754.0,13026.0,6986.0,1.8490077653149266
Academy of Art University,San Francisco,CA,94105,www.academyart.edu/,41945.0,23412.0,23412.0,8678.0,0.5010943199583117
Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,www.acchs.edu/,28383.0,12334.5,15514.5,8774.0,0.8621872221516576
College of Alameda,Alameda,CA,94501,alameda.peralta.edu/,14821.0,1257.0,7617.0,8870.0,3.5115848007414274
Allan Hancock College,Santa Maria,CA,93454-6399,www.hancockcollege.edu/,10969.0,1352.0,7504.0,8531.0,10.957055214723926
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,90028,www.aada.edu/,51203.0,36190.0,36190.0,8594.0,0.2817654245571167
Berkeley School of Theology,Berkeley,CA,94704-3029,www.absw.edu/,43428.6,34756.5,34756.5,6382.0,3.6553428042001235
American Film Institute Conservatory,Los Angeles,CA,90027-1625,www.afi.com/,35654.2,33323.0,33323.0,8536.0,0.2300240125859071
American Career College-Los Angeles,Los Angeles,CA,90004,https://americancareercollege.edu/,27879.800000000003,31889.5,31889.5,6035.0,0.45840457958516095
American Conservatory Theater,San Francisco,CA,94102,www.act-sf.org/,20105.4,30456.0,30456.0,10514.0,0.6526854219948849
American River College,Sacramento,CA,95841-4286,https://www.arc.losrios.edu/,12331.0,1104.0,8928.0,8832.0,8.588454376163874
Antelope Valley College,Lancaster,CA,93536-5426,www.avc.edu/,12595.0,1124.0,6380.0,8669.0,11.838926174496644
Art Center College of Design,Pasadena,CA,91103,www.artcenter.edu/,64316.0,44932.0,44932.0,7947.0,0.6160534738153907
Azusa Pacific University,Azusa,CA,91702-7000,www.apu.edu/,53117.0,40220.0,40220.0,9007.0,0.543597878352253
Bakersfield College,Bakersfield,CA,93305-1299,www.bakersfieldcollege.edu/,12415.0,1325.0,7737.0,10430.0,11.182186234817813
Barstow Community College,Barstow,CA,92311,www.barstow.edu/,17218.0,1104.0,7464.0,9455.0,10.283333333333333
Bethesda University,Anaheim,CA,92801,www.buc.edu/,22018.0,8095.0,8095.0,2083.0,0.15106286748077793
Biola University,La Mirada,CA,90639-0001,https://www.biola.edu/,55950.0,41976.0,41976.0,7676.0,0.5473005569931143
Bryan University,Tempe,AZ,85281,bryanuniversity.edu/,22092.0,10075.0,10075.0,5128.0,0.414417845484222
Butte College,Oroville,CA,95965-8399,www.butte.edu/,12772.0,1368.0,6984.0,9099.0,5.550898203592815
California Institute of Integral Studies,San Francisco,CA,94103,www.ciis.edu/,14334.0,1319.0,7223.0,8549.0,0.4715702416050848
Cabrillo College,Aptos,CA,95003,www.cabrillo.edu/,15896.0,1270.0,7462.0,8449.0,5.915618060695781
California Baptist University,Riverside,CA,92504-3297,www.calbaptist.edu/,46261.0,34882.0,34882.0,9815.0,0.4725565470014526
California College of the Arts,San Francisco,CA,94107-2247,www.cca.edu/,66348.0,51092.0,51092.0,9728.0,0.5649720941519049
University of California-Hastings College of Law,San Francisco,CA,94102-4978,www.uchastings.edu/,69216.0,52846.0,52846.0,17648.0,1.2460640665015323
California Institute of Technology,Pasadena,CA,91125,www.caltech.edu/,72084.0,54600.0,54600.0,20595.0,5.3139840355663335
California Lutheran University,Thousand Oaks,CA,91360-2787,www.callutheran.edu/,58375.0,44382.0,44382.0,10402.0,0.4937084026622296
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,calpoly.edu/,28302.0,9943.0,23833.0,10598.0,1.10546875
Alliant International University-San Diego,San Diego,CA,92131,https://www.alliant.edu/,22481.0,14880.0,14880.0,8695.0,0.3710281319570937
California State University-Bakersfield,Bakersfield,CA,93311-1099,www.csub.edu/,16660.0,7419.0,19299.0,9640.0,1.834978843441467
California State University-Stanislaus,Turlock,CA,95382-0299,https://www.csustan.edu/,16549.0,7542.0,19422.0,9678.0,1.7289523409615788
California State University-San Bernardino,San Bernardino,CA,92407-2393,www.csusb.edu/,18313.0,6885.0,18765.0,9808.0,1.9884213499011578
California State Polytechnic University-Pomona,Pomona,CA,91768,www.cpp.edu/,21967.0,7396.0,19276.0,10766.0,1.7371541501976284
California State University-Chico,Chico,CA,95929-0150,www.csuchico.edu/,23888.0,7806.0,19686.0,9692.0,1.6617924528301886
California State University-Dominguez Hills,Carson,CA,90747-0005,https://www.csudh.edu/,14951.0,6946.0,18826.0,9761.0,1.7896365042536737
California State University-Fresno,Fresno,CA,93740,www.fresnostate.edu/,16494.0,6589.0,18469.0,9653.0,2.10151558478696
California State University-Fullerton,Fullerton,CA,92831-3599,www.fullerton.edu/,17568.0,6924.0,18804.0,10392.0,1.4056695992179864
California State University-East Bay,Hayward,CA,94542,www.csueastbay.edu/,21495.0,7000.0,18880.0,10382.0,1.0663148636763413
California State University-Long Beach,Long Beach,CA,90840-0115,www.csulb.edu/,19239.0,6834.0,18714.0,10346.0,1.7343716201600692
California State University-Los Angeles,Los Angeles,CA,90032-8506,www.calstatela.edu/,14728.0,6768.0,18648.0,10216.0,2.0148644709997083
California State University-Northridge,Northridge,CA,91330,https://www.csun.edu/,19301.0,6977.0,18857.0,10414.0,1.5515625
California State University-Sacramento,Sacramento,CA,95819-2694,www.csus.edu/,20173.0,7368.0,19248.0,9863.0,1.4370848358322261
University of California-Berkeley,Berkeley,CA,94720,www.berkeley.edu/,37852.0,14253.0,44007.0,17763.0,0.8814528106575453
University of California-Davis,Davis,CA,95616-8678,ucdavis.edu/,34752.0,14495.0,44249.0,15374.0,1.2730263157894737
University of California-Irvine,Irvine,CA,92697,www.uci.edu/,33325.0,13727.0,43481.0,16113.0,1.2402850128734806
University of California-Los Angeles,Los Angeles,CA,90095-1405,www.ucla.edu/,34366.0,13240.0,42994.0,18871.0,2.694277033421328
University of California-Riverside,Riverside,CA,92521,www.ucr.edu/,33368.0,13853.0,43607.0,14100.0,1.2348632432011222
University of California-San Diego,La Jolla,CA,92093,www.ucsd.edu/,32434.0,14415.0,44169.0,16447.0,1.1097430977507727
University of California-San Francisco,San Francisco,CA,94143-0244,ucsf.edu/,34376.5,14403.0,44157.0,15881.0,6.003065480677421
University of California-Santa Barbara,Santa Barbara,CA,93106,www.ucsb.edu/,36319.0,14391.0,44145.0,16692.0,0.8064407161355703
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,www.ucsc.edu/,36115.0,13991.0,43745.0,15094.0,0.7019674355495251
Sofia University,Palo Alto,CA,94303,www.sofia.edu/,25488.0,11900.5,26777.5,5322.0,0.43376949274063453
California Christian College,Fresno,CA,93727,www.calchristiancollege.edu/,14861.0,9810.0,9810.0,3521.0,0.45022517184166866
Haven University,Garden Grove,CA,92840-1340,www.haven.edu/,43121.5,7710.0,7710.0,1720.0,3.456921587608906
California Institute of the Arts,Valencia,CA,91355-2397,https://www.calarts.edu/,71382.0,51466.0,51466.0,9640.0,0.7354776057913013
California State University Maritime Academy,Vallejo,CA,94590-8181,https://www.csum.edu/,27259.0,7116.0,18996.0,10147.0,2.3467964741481384
California Western School of Law,San Diego,CA,92101-3046,https://www.cwsl.edu/,18448.5,4239.0,14001.0,11473.0,0.33244868478516476
Canada College,Redwood City,CA,94061-1099,canadacollege.edu/,9638.0,1362.0,9006.0,10562.0,4.160881174899867
College of the Canyons,Santa Clarita,CA,91355-1899,www.canyons.edu/,11311.0,1156.0,7804.0,9028.0,6.696629213483146
Casa Loma College-Van Nuys,Van Nuys,CA,91405,https://www.casalomacollege.edu/,9988.0,1251.0,8285.0,4580.0,0.5813436979455858
Cerritos College,Norwalk,CA,90650-6298,www.cerritos.edu/,8665.0,1346.0,8766.0,10488.0,9.661060802069859
Cerro Coso Community College,Ridgecrest,CA,93555-9571,cerrocoso.edu/,14278.0,1290.0,7702.0,10704.0,9.14017094017094
Chabot College,Hayward,CA,94545,www.chabotcollege.edu/,12030.0,1144.0,7912.0,9946.0,4.6314076484947115
Chaffey College,Rancho Cucamonga,CA,91737-3002,https://www.chaffey.edu/,17179.0,1172.0,8012.0,9713.0,4.639484978540772
Chapman University,Orange,CA,92866,https://www.chapman.edu/,72079.0,54924.0,54924.0,12004.0,0.51053125
Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,www.cdrewu.edu/,31684.0,13972.0,13972.0,8456.0,0.8350653704324505
Concordia University-Irvine,Irvine,CA,92612-3203,www.cui.edu/,50332.0,36740.0,36740.0,7371.0,0.4973825373230789
San Diego Christian College,Santee,CA,92071,sdcc.edu/,47220.0,32346.0,32346.0,6852.0,0.2677764077270859
Church Divinity School of the Pacific,Berkeley,CA,94709-1211,www.cdsp.edu/,28846.5,16768.0,19996.0,7482.0,1.8430765567329443
Citrus College,Glendora,CA,91741-1899,https://www.citruscollege.edu/,10473.0,1190.0,7646.0,8037.0,4.202443280977312
City College of San Francisco,San Francisco,CA,94112-1898,www.ccsf.edu/,10710.0,1144.0,12792.0,10361.0,5.4630021141649046
Claremont Graduate University,Claremont,CA,91711-6160,www.cgu.edu/,42260.0,28809.5,34633.5,14497.0,0.8889619822931228
Claremont McKenna College,Claremont,CA,91711-6400,www.cmc.edu/,73810.0,56475.0,56475.0,11334.0,0.8761902118091219
Coastline Community College,Fountain Valley,CA,92708-2597,www.coastline.edu/,14340.0,1150.0,6670.0,10914.0,3.088757396449704
Cogswell University of Silicon Valley,San Jose,CA,95134,https://cogswell.edu/,35151.0,20800.0,20800.0,7458.0,0.28541461535168455
Western University of Health Sciences,Pomona,CA,91766-1854,www.westernu.edu/,25326.0,10988.0,14168.0,10964.0,0.6561180130622
Columbia College,Sonora,CA,95370,www.gocolumbia.edu/,15501.0,1176.0,7536.0,9936.0,10.96808510638298
Columbia College Hollywood,Tarzana,CA,91356-1411,https://www.columbiacollege.edu/,36596.0,24495.0,24495.0,6133.0,0.18938480096501809
Compton College,Compton,CA,90221-5393,www.compton.edu/,16722.0,1142.0,5942.0,8905.0,14.118110236220472
Contra Costa College,San Pablo,CA,94806-3195,https://www.contracosta.edu/,12349.0,1312.0,9012.0,8941.0,8.322384428223843
Cosumnes River College,Sacramento,CA,95823-5799,https://www.crc.losrios.edu/,10790.0,1104.0,8928.0,8597.0,7.310526315789474
Crafton Hills College,Yucaipa,CA,92339-1799,www.craftonhills.edu/,21252.0,1144.0,8008.0,10046.0,7.616915422885572
